"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","CET350","OSHA FOR CONSTRUCTION","102","11107","F","6:00 PM - 8:50 PM","KUPF 202","Open","30","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11107",""
"202610","CET413","ENVIRONMENTAL SCIENCE","002","11108","F","1:00 PM - 2:55 PM","COLT 311","Open","20","0","Borgaonkar, Ashish","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11108","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery<br />See syllabus for in-person/virtual meeting dates"
"202610","CET413","ENVIRONMENTAL SCIENCE","002","11108","","TBA"," ","Open","20","0","Borgaonkar, Ashish","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11108","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery<br />See syllabus for in-person/virtual meeting dates"
"202610","CET413","ENVIRONMENTAL SCIENCE","102","11109","F","6:00 PM - 7:55 PM","CKB 222","Open","20","0","McCall, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11109",""
"202610","CET413","ENVIRONMENTAL SCIENCE","102","11109","F","8:05 PM - 10:00 PM","COLT 311","Open","20","0","McCall, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11109",""
"202610","CET416","SENIOR CONSTRUCTION PROJ","102","11110","T","6:00 PM - 10:05 PM","TIER 108","Open","30","0","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11110",""
"202610","CET435","DGN OF TEMPRY STRS CNSTN","102","11111","R","6:00 PM - 7:55 PM","TIER 107","Open","25","0","Porcello, Zachary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11111",""
"202610","CET435","DGN OF TEMPRY STRS CNSTN","102","11111","R","8:05 PM - 10:00 PM","MALL PC36","Open","25","0","Porcello, Zachary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11111",""
"202610","CET490","SPECIAL PROJECT","352","11112","","TBA"," ","Open","19","0","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11112","See department for permission to enroll."
"202610","CET491","SPECIAL PROJECTS","352","11113","","TBA"," ","Open","19","0","Wiggins, John","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11113","See department for permission to enroll."
"202610","CET492","SPECIAL PROJECTS","352","11114","","TBA"," ","Open","19","0","Wiggins, John","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11114","See department for permission to enroll."
"202610","CET493","SPECIAL PROJECTS","352","11115","","TBA"," ","Open","19","0","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11115","See department for permission to enroll."
"202610","CET497","CO-OP INTERNSHIP","352","11116","","TBA"," ","Open","19","0","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=11116","See department for permission to enroll."
